Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Discount,Item ID,Item,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Postal Code,Product Base Margin,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price
Telephones and Communication,Boston,Small Box,3011,Tammy Raynor,Corporate,Technology,0.01,10164,Item 10164,1,10/17/2020,612,Medium,90,2113,0.55,882,East,96,5298,10/19/2020,Regular Air,3,Massachusetts,66
Binders and Binder Accessories,Dallas,Small Box,563,Marjorie Pope,Corporate,Office Supplies,0.03,11105,"Angle-D Binders with Locking Rings, Label Holders",1,6/15/2019,613,High,20,75081,0.38,-54,Central,97,156,6/15/2019,Regular Air,8,Texas,7
Storage & Organization,Dallas,Small Box,563,Marjorie Pope,Corporate,Office Supplies,0.09,10591,"SAFCO Mobile Desk Side File, Wire Frame",1,6/15/2019,613,High,36,75081,0,128,Central,98,1481,6/16/2019,Regular Air,6,Texas,43
"Scissors, Rulers and Trimmers",Dallas,Small Pack,1106,Maxine Collier Grady,Small Business,Office Supplies,0.01,10621,Acme® Forged Steel Scissors with Black Enamel Handles,1,11/19/2017,646,High,61,75220,0.56,-11,Central,106,587,11/20/2017,Regular Air,4,Texas,9
Appliances,Oxford,Small Box,607,Clara Hauser,Corporate,Office Supplies,0.04,10914,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,1,2/27/2018,738,Not Specified,7,1540,0.59,33,East,112,561,3/1/2018,Regular Air,5,Massachusetts,81
Paper,Oxford,Small Box,607,Clara Hauser,Corporate,Office Supplies,0.08,10761,Xerox 23,1,2/27/2018,738,Not Specified,31,1540,0.37,-57,East,113,190,2/28/2018,Regular Air,5,Massachusetts,6
Telephones and Communication,Boston,Small Box,1488,Anthony Goodwin,Home Office,Technology,0.06,10878,Talkabout T8367,1,9/23/2018,773,Medium,69,2129,0.56,325,East,119,3761,9/24/2018,Regular Air,9,Massachusetts,66
Paper,Dallas,Small Box,1106,Maxine Collier Grady,Small Business,Office Supplies,0.02,10761,Xerox 23,1,10/5/2019,835,Not Specified,35,75220,0.37,-28,Central,132,243,10/6/2019,Regular Air,5,Texas,6
Binders and Binder Accessories,New York City,Small Box,2382,Geoffrey Saunders,Small Business,Office Supplies,0.06,10837,GBC Therma-A-Bind 250T Electric Binding System,1,5/3/2017,962,Low,48,10024,0.37,1408,East,151,5911,5/5/2017,Regular Air,20,New York,123
Appliances,New York City,Jumbo Drum,2382,Geoffrey Saunders,Small Business,Office Supplies,0.08,10977,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1,5/3/2017,962,Low,68,10024,0.41,-1070,East,152,4650,5/5/2017,Delivery Truck,60,New York,69
Paper,Oxford,Small Box,2491,Sean N Boyer,Home Office,Office Supplies,0.08,10458,Xerox 1981,1,2/2/2018,1222,Medium,48,1540,0.4,-122,East,188,257,2/2/2018,Regular Air,6,Massachusetts,5
Telephones and Communication,Irving,Small Box,308,Glen Caldwell,Consumer,Technology,0.07,10320,SC-3160,1,10/11/2020,1447,High,84,75061,0.59,239,Central,224,4486,10/14/2020,Regular Air,9,Texas,66
Binders and Binder Accessories,Boston,Small Box,1413,Pamela Wiley,Corporate,Office Supplies,0.07,11044,Peel & Stick Add-On Corner Pockets,1,2/12/2020,1537,Not Specified,5,2113,0.37,-20,East,227,17,2/12/2020,Regular Air,6,Massachusetts,2
Binders and Binder Accessories,Atlanta,Small Box,1745,Herbert Holden,Home Office,Office Supplies,0.03,10816,GBC Standard Plastic Binding Systems' Combs,1,7/8/2020,1793,Not Specified,50,30305,0.4,-96,South,257,324,7/8/2020,Regular Air,5,Georgia,6
Binders and Binder Accessories,Oxford,Small Box,3251,Peter Brooks,Small Business,Office Supplies,0.07,10491,Wilson Jones Suede Grain Vinyl Binders,1,5/4/2020,1829,High,62,1540,0.36,7,East,265,172,5/5/2020,Regular Air,1,Massachusetts,3
Appliances,Irving,Large Box,94,Eddie House Mueller,Home Office,Office Supplies,0.08,10505,Euro Pro Shark Stick Mini Vacuum,1,3/16/2020,1856,Not Specified,24,75061,0.59,-712,Central,267,1449,3/18/2020,Regular Air,49,Texas,61
Telephones and Communication,Irving,Small Box,94,Eddie House Mueller,Home Office,Technology,0.05,10858,M3682,1,3/16/2020,1856,Not Specified,43,75061,0.57,973,Central,268,4375,3/17/2020,Regular Air,8,Texas,126
Telephones and Communication,Irving,Small Box,94,Eddie House Mueller,Home Office,Technology,0.1,10959,StarTAC 6500,1,3/16/2020,1856,Not Specified,44,75061,0.59,676,Central,269,4283,3/17/2020,Regular Air,9,Texas,126
Chairs & Chairmats,Seattle,Jumbo Drum,2645,Ronnie Dodson,Consumer,Furniture,0,10592,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,1,7/6/2020,2209,High,38,98103,0.57,2245,West,316,13256,7/8/2020,Delivery Truck,59,Washington,321
Paper,Seattle,Wrap Bag,2645,Ronnie Dodson,Consumer,Office Supplies,0.02,10728,Wirebound Voice Message Log Book,1,7/6/2020,2209,High,1,98103,0.39,-2,West,317,6,7/7/2020,Regular Air,1,Washington,5
Pens & Art Supplies,Seattle,Wrap Bag,2645,Ronnie Dodson,Consumer,Office Supplies,0.08,10799,Newell 336,1,7/6/2020,2209,High,59,98103,0.56,26,West,318,245,7/6/2020,Regular Air,1,Washington,4
Telephones and Communication,Seattle,Small Box,2645,Ronnie Dodson,Consumer,Technology,0.1,10554,270c,1,7/6/2020,2209,High,18,98103,0.59,-161,West,319,1752,7/7/2020,Regular Air,3,Washington,126
Binders and Binder Accessories,Washington,Small Box,1193,Louis Parrish,Consumer,Office Supplies,0.05,10935,Durable Pressboard Binders,1,9/1/2019,2309,Low,14,20016,0.38,-1,East,340,54,9/3/2019,Regular Air,1,District of Columbia,4
Office Furnishings,Los Angeles,Small Box,1314,Keith Marsh,Home Office,Furniture,0.01,10571,Eldon Executive Woodline II Cherry Finish Desk Accessories,1,4/29/2019,2311,High,49,90058,0.57,95,West,341,2093,4/30/2019,Regular Air,19,California,41
Appliances,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Office Supplies,0.08,11168,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",1,8/17/2018,2368,Critical,65,28206,0.43,-305,South,344,919,8/19/2018,Regular Air,13,North Carolina,15
Office Machines,Los Angeles,Jumbo Drum,553,Kristine Connolly,Corporate,Technology,0.07,10122,Lexmark 4227 Plus Dot Matrix Printer,1,8/19/2017,2433,Not Specified,25,90008,0.55,4073,West,349,43046,8/19/2017,Delivery Truck,15,California,2036
Office Machines,Oxford,Jumbo Drum,607,Clara Hauser,Corporate,Technology,0.09,10812,Panasonic KX-P1150 Dot Matrix Printer,1,7/13/2019,2467,Not Specified,41,1540,0.56,587,East,355,5668,7/14/2019,Delivery Truck,18,Massachusetts,145
Telephones and Communication,New York City,Small Box,2303,Joe Baldwin,Corporate,Technology,0.06,10107,i470,1,8/23/2020,2497,Critical,42,10011,0.56,636,East,356,7258,8/25/2020,Regular Air,5,New York,206
Labels,Boston,Small Box,478,Michael Wiggins,Small Business,Office Supplies,0.04,10701,Avery 494,1,11/16/2018,2563,Not Specified,41,2129,0.39,8,East,370,109,11/17/2018,Regular Air,1,Massachusetts,3
Pens & Art Supplies,Boston,Wrap Bag,478,Michael Wiggins,Small Business,Office Supplies,0.01,10582,Newell 315,1,11/16/2018,2563,Not Specified,112,2129,0.6,46,East,371,706,11/17/2018,Regular Air,1,Massachusetts,6
"Scissors, Rulers and Trimmers",New City,Small Pack,2107,Leigh Burnette Hurley,Corporate,Office Supplies,0.05,10506,"Acme® 8"" Straight Scissors",1,7/17/2019,2757,High,57,10956,0.6,84,East,407,773,7/18/2019,Express Air,3,New York,13
Computer Peripherals,Boston,Small Box,478,Michael Wiggins,Small Business,Technology,0,11239,Belkin ErgoBoard™ Keyboard,1,11/22/2018,2759,Not Specified,85,2129,0.64,45,East,408,2813,11/24/2018,Regular Air,7,Massachusetts,31
Paper,Seattle,Small Box,2645,Ronnie Dodson,Consumer,Office Supplies,0.05,10732,Xerox 1930,1,4/23/2019,2947,Critical,9,98103,0.36,-29,West,439,64,4/25/2019,Regular Air,7,Washington,6
Telephones and Communication,Boston,Small Box,68,Scott Bunn,Corporate,Technology,0.01,10003,iDEN i550,1,4/30/2019,2978,Critical,53,2129,0.6,1312,East,441,9765,5/1/2019,Regular Air,20,Massachusetts,206
Envelopes,Boston,Small Box,68,Scott Bunn,Corporate,Office Supplies,0.09,10290,Multimedia Mailers,1,4/30/2019,2978,Critical,57,2129,0.39,2078,East,442,8567,5/2/2019,Regular Air,20,Massachusetts,163
Telephones and Communication,Boston,Small Box,68,Scott Bunn,Corporate,Technology,0.07,11039,2160i,1,4/30/2019,2978,Critical,44,2129,0.59,947,East,443,7340,5/1/2019,Regular Air,4,Massachusetts,201
Envelopes,Seattle,Small Box,640,Neal Wolfe,Consumer,Office Supplies,0.01,10290,Multimedia Mailers,1,11/5/2019,3008,Medium,139,98119,0.39,3081,West,444,23161,11/6/2019,Regular Air,20,Washington,163
Pens & Art Supplies,Oxford,Wrap Bag,699,Jenny Gold,Consumer,Office Supplies,0.1,11250,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",1,11/18/2017,3042,Medium,88,1540,0.44,15,East,448,352,11/19/2017,Regular Air,1,Massachusetts,4
Pens & Art Supplies,Boston,Small Pack,2618,Amy Hamrick Melvin,Corporate,Office Supplies,0.1,10467,"Boston School Pro Electric Pencil Sharpener, 1670",1,8/6/2020,3136,Not Specified,16,2129,0.58,-39,East,461,477,8/8/2020,Regular Air,9,Massachusetts,31
Computer Peripherals,Atlanta,Small Box,471,Ross Simpson,Consumer,Technology,0.07,10661,Motorola SB4200 Cable Modem,1,2/6/2017,3138,Not Specified,4,30318,0.48,-569,South,462,718,2/6/2017,Express Air,20,Georgia,180
Binders and Binder Accessories,Boston,Small Box,1129,Pam Patton,Corporate,Office Supplies,0.03,10935,Durable Pressboard Binders,1,3/14/2019,3266,Low,4,2118,0.38,-3,East,473,17,3/18/2019,Regular Air,1,Massachusetts,4
Office Machines,Atlanta,Jumbo Drum,1745,Herbert Holden,Home Office,Technology,0.07,10686,Panasonic KX-P1131 Dot Matrix Printer,1,12/29/2019,3271,Critical,90,30305,0.58,1845,South,474,23066,12/29/2019,Delivery Truck,18,Georgia,265
Paper,Atlanta,Wrap Bag,1745,Herbert Holden,Home Office,Office Supplies,0.06,10142,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",1,12/29/2019,3271,Critical,36,30305,0.35,34,South,475,292,1/1/2020,Express Air,1,Georgia,8
Pens & Art Supplies,Miami,Wrap Bag,342,Jacqueline Noble,Corporate,Office Supplies,0.01,10045,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",1,11/2/2017,3332,Critical,20,33181,0.41,-5,South,480,74,11/4/2017,Regular Air,2,Florida,3
Computer Peripherals,Boston,Small Box,102,Caroline Johnston,Consumer,Technology,0.1,10752,Belkin 105-Key Black Keyboard,1,6/20/2017,3397,Medium,65,2129,0.68,-20,East,494,1233,6/22/2017,Regular Air,4,Massachusetts,20
Binders and Binder Accessories,Boston,Small Box,102,Caroline Johnston,Consumer,Office Supplies,0.09,11020,Avery Durable Binders,1,6/20/2017,3397,Medium,17,2129,0.36,-3,East,495,47,6/21/2017,Regular Air,1,Massachusetts,3
Storage & Organization,Philadelphia,Small Box,3079,Andrew Levine,Consumer,Office Supplies,0.08,10817,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",1,9/30/2019,3460,High,53,19112,0.68,-114,East,500,301,10/2/2019,Regular Air,5,Pennsylvania,6
Paper,Boston,Small Box,2498,Arlene Long,Small Business,Office Supplies,0,11073,Computer Printout Paper with Letter-Trim Perforations,1,4/29/2020,3524,High,27,2129,0.37,52,East,513,549,4/30/2020,Regular Air,9,Massachusetts,19
Paper,Oxford,Wrap Bag,181,Wesley Waller,Corporate,Office Supplies,0.07,10764,Riverleaf Stik-Withit® Designer Note Cubes®,1,11/19/2020,3585,High,97,1540,0.39,78,East,521,933,11/19/2020,Regular Air,2,Massachusetts,10
Pens & Art Supplies,Oxford,Wrap Bag,181,Wesley Waller,Corporate,Office Supplies,0.07,10841,Newell 323,1,11/20/2017,3585,High,116,1540,0.59,-36,East,522,187,11/21/2017,Regular Air,2,Massachusetts,2
Envelopes,Washington,Small Box,1193,Louis Parrish,Small Business,Office Supplies,0.06,11235,Staples Brown Kraft Recycled Clasp Envelopes,1,5/2/2020,3621,Medium,18,20016,0.35,-29,East,532,108,5/3/2020,Regular Air,5,District of Columbia,6
Pens & Art Supplies,New York City,Wrap Bag,2382,Geoffrey Saunders,Small Business,Office Supplies,0,10306,Newell 35,1,1/14/2020,3685,Medium,32,10024,0.56,-157,East,548,118,1/15/2020,Regular Air,5,New York,3
Appliances,Washington,Large Box,1733,Nina Horne Kelly,Small Business,Office Supplies,0.02,10505,Euro Pro Shark Stick Mini Vacuum,1,10/2/2017,3841,Not Specified,34,20012,0.59,-663,East,566,2120,10/4/2017,Regular Air,49,District of Columbia,61
Binders and Binder Accessories,Washington,Small Box,1733,Nina Horne Kelly,Small Business,Office Supplies,0.02,10202,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1,10/2/2017,3841,Not Specified,36,20012,0.35,9228,East,567,45737,10/4/2017,Regular Air,20,District of Columbia,1271
Telephones and Communication,Washington,Small Box,1733,Nina Horne Kelly,Small Business,Technology,0.05,10095,StarTAC 8000,1,10/1/2020,3841,Not Specified,90,20012,0.6,1680,East,568,15296,10/3/2020,Express Air,9,District of Columbia,206
Chairs & Chairmats,Coachella,Jumbo Drum,2403,Kara Gregory,Consumer,Furniture,0.03,10291,"Global Push Button Manager's Chair, Indigo",1,12/18/2018,3905,Not Specified,78,92236,0.56,-377,West,573,4713,12/19/2018,Delivery Truck,32,California,61
Pens & Art Supplies,Boston,Wrap Bag,3011,Tammy Raynor,Corporate,Office Supplies,0.1,10690,*Staples* Highlighting Markers,1,5/4/2018,4004,Medium,20,2113,0.52,9,East,584,91,5/7/2018,Regular Air,1,Massachusetts,5
Pens & Art Supplies,Boston,Small Pack,3011,Tammy Raynor,Corporate,Office Supplies,0.05,10474,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,1,5/4/2018,4004,Medium,64,2113,0.56,195,East,585,2200,5/5/2018,Regular Air,9,Massachusetts,35
Office Furnishings,New York City,Small Pack,2382,Geoffrey Saunders,Small Business,Furniture,0.02,11114,"Eldon Regeneration Recycled Desk Accessories, Smoke",1,8/11/2020,4294,Medium,16,10024,0.53,-15,East,622,35,8/13/2020,Regular Air,4,New York,2
Computer Peripherals,Boston,Small Pack,2548,Wayne Bass,Small Business,Technology,0.09,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",1,6/15/2018,4610,Low,12,2129,0.52,-17,East,653,100,6/17/2018,Regular Air,2,Massachusetts,8
Envelopes,Boston,Small Box,2548,Wayne Bass,Small Business,Office Supplies,0.08,10992,"#10 White Business Envelopes,4 1/8 x 9 1/2",1,6/15/2018,4610,Low,44,2129,0.38,203,East,654,679,6/19/2018,Regular Air,1,Massachusetts,16
Chairs & Chairmats,Dallas,Jumbo Drum,667,Allison Kirby,Corporate,Furniture,0.02,10712,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",1,4/15/2020,4674,Critical,23,75203,0.78,-260,Central,667,3041,4/16/2020,Delivery Truck,30,Texas,131
Labels,Miami,Small Box,349,Kim Weiss,Home Office,Office Supplies,0.01,10113,Avery 49,1,4/11/2019,4769,Not Specified,46,33132,0.36,33,South,682,132,4/12/2019,Regular Air,1,Florida,3
Tables,Oxford,Jumbo Box,699,Jenny Gold,Consumer,Furniture,0.04,10883,Hon iLevel™ Computer Training Table,1,12/10/2020,4771,Critical,8,1540,0.65,-126,East,683,272,12/12/2020,Delivery Truck,46,Massachusetts,32
Paper,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Office Supplies,0.05,10629,Xerox 227,1,5/7/2017,4839,Critical,35,28206,0.37,-160,South,694,233,5/7/2017,Regular Air,9,North Carolina,6
Chairs & Chairmats,Boston,Medium Box,1488,Anthony Goodwin,Home Office,Furniture,0.04,10798,SAFCO Folding Chair Trolley,1,8/23/2019,5153,Critical,73,2129,0,1468,East,719,9662,8/25/2019,Express Air,13,Massachusetts,128
Appliances,New City,Small Box,2107,Leigh Burnette Hurley,Home Office,Office Supplies,0.03,11220,Belkin 8 Outlet Surge Protector,1,10/10/2019,5217,High,16,10956,0.57,22,East,725,679,10/10/2019,Express Air,5,New York,41
Labels,New City,Small Box,2107,Leigh Burnette Hurley,Home Office,Office Supplies,0.09,11130,Avery 481,1,10/10/2019,5217,High,22,10956,0.37,3,East,726,67,10/12/2019,Regular Air,1,New York,3
Office Furnishings,Miami,Medium Box,1959,Bonnie Matthews Rowland,Home Office,Furniture,0.07,11042,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1,12/23/2018,5346,Critical,63,33916,0.74,-1927,South,741,5435,12/24/2018,Regular Air,56,Florida,91
Tables,Miami,Jumbo Box,1959,Bonnie Matthews Rowland,Home Office,Furniture,0.1,11093,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1,12/23/2018,5346,Critical,83,33916,0.77,-2342,South,742,16959,12/25/2018,Delivery Truck,70,Florida,219
Bookcases,Miami,Jumbo Box,1959,Bonnie Matthews Rowland,Home Office,Furniture,0.08,11015,"Sauder Forest Hills Library, Woodland Oak Finish",1,12/23/2018,5346,Critical,31,33916,0.77,-606,South,743,4167,12/25/2018,Delivery Truck,36,Florida,141
Paper,Oxford,Small Box,491,Toni Swanson,Consumer,Office Supplies,0.02,10976,Xerox 21,1,7/17/2020,5441,Not Specified,48,1540,0.37,-92,East,757,320,7/19/2020,Regular Air,7,Massachusetts,6
Storage & Organization,Oxford,Small Box,491,Toni Swanson,Consumer,Office Supplies,0.04,10159,Advantus Rolling Storage Box,1,7/17/2020,5441,Not Specified,22,1540,0.58,6,East,758,384,7/18/2020,Regular Air,5,Massachusetts,17
Copiers and Fax,Miami,Large Box,1291,Maria Jackson,Small Business,Technology,0.08,10360,Canon PC940 Copier,1,3/15/2019,5444,Critical,2,33180,0.52,-2692,South,759,886,3/17/2019,Regular Air,24,Florida,450
Paper,Detroit,Small Box,198,Leroy Blanchard,Small Business,Office Supplies,0.06,10525,HP Office Recycled Paper (20Lb. and 87 Bright),1,1/3/2020,5504,High,7,48138,0.36,-33,Central,767,58,1/5/2020,Express Air,8,Michigan,6
Telephones and Communication,Detroit,Small Box,198,Leroy Blanchard,Small Business,Technology,0.04,10691,KF 788,1,1/3/2018,5504,High,15,48138,0.56,8,Central,768,607,1/5/2018,Regular Air,5,Michigan,46
Envelopes,Charlotte,Small Box,272,Eleanor Swain,Home Office,Office Supplies,0.02,11235,Staples Brown Kraft Recycled Clasp Envelopes,1,4/5/2017,5509,Low,11,28204,0.35,-30,South,770,68,4/10/2017,Regular Air,5,North Carolina,6
Office Furnishings,Charlotte,Small Box,272,Eleanor Swain,Home Office,Furniture,0.03,10571,Eldon Executive Woodline II Cherry Finish Desk Accessories,1,4/5/2017,5509,Low,21,28204,0.57,53,South,771,885,4/12/2017,Regular Air,19,North Carolina,41
Appliances,Philadelphia,Small Box,1313,Katherine Knight,Corporate,Office Supplies,0.04,10687,Belkin Premiere Surge Master II 8-outlet surge protector,1,9/22/2018,5543,Medium,27,19134,0.56,138,East,778,1266,9/24/2018,Regular Air,4,Pennsylvania,49
Paper,Philadelphia,Wrap Bag,1313,Katherine Knight,Corporate,Office Supplies,0.04,10139,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",1,9/22/2018,5543,Medium,11,19134,0.38,11,East,779,121,9/25/2018,Regular Air,2,Pennsylvania,10
"Scissors, Rulers and Trimmers",Philadelphia,Wrap Bag,1313,Katherine Knight,Corporate,Office Supplies,0.02,10161,*Staples* Letter Opener,1,9/22/2018,5543,Medium,49,19134,0.81,-115,East,780,122,9/24/2018,Regular Air,5,Pennsylvania,2
Computer Peripherals,Boston,Small Box,1413,Pamela Wiley,Corporate,Technology,0.01,10693,US Robotics 56K V.92 External Faxmodem,1,9/4/2018,5702,Not Specified,36,2113,0.52,200,East,799,3671,9/6/2018,Regular Air,20,Massachusetts,100
Paper,Atlanta,Small Box,1745,Herbert Holden,Consumer,Office Supplies,0.06,11260,Xerox 1881,1,5/13/2018,5703,Medium,42,30305,0.38,7,South,800,518,5/14/2018,Regular Air,6,Georgia,12
Telephones and Communication,Oxford,Wrap Bag,949,Ernest Oh,Consumer,Technology,0,11091,Accessory21,1,10/31/2020,5890,High,151,1540,0.37,436,East,815,2925,11/1/2020,Express Air,1,Massachusetts,21
Storage & Organization,Oxford,Small Box,2431,Troy Cassidy,Consumer,Office Supplies,0.07,10770,"Dual Level, Single-Width Filing Carts",1,11/17/2017,5920,High,14,1540,0.59,-122,East,819,2039,11/17/2017,Regular Air,7,Massachusetts,155
Appliances,Washington,Small Box,1193,Louis Parrish,Consumer,Office Supplies,0.06,10462,Belkin 6 Outlet Metallic Surge Strip,1,6/14/2020,5984,Low,56,20016,0.59,-31,East,829,597,6/19/2020,Regular Air,5,District of Columbia,11
Office Furnishings,Washington,Small Box,1193,Louis Parrish,Consumer,Furniture,0.03,10726,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",1,6/15/2017,5984,Low,63,20016,0.57,14,East,830,697,6/20/2017,Regular Air,5,District of Columbia,11
Office Furnishings,Washington,Small Box,1193,Louis Parrish,Consumer,Furniture,0.03,10568,Staples Plastic Wall Frames,1,6/15/2017,5984,Low,17,20016,0.41,22,East,831,149,6/17/2017,Regular Air,5,District of Columbia,8
Appliances,Philadelphia,Small Box,1282,Dana Sharpe,Small Business,Office Supplies,0.08,10182,"Belkin 325VA UPS Surge Protector, 6'",1,4/18/2020,5986,High,48,19134,0.6,1638,East,832,5556,4/18/2020,Regular Air,4,Pennsylvania,121
Chairs & Chairmats,Philadelphia,Jumbo Drum,1282,Dana Sharpe,Small Business,Furniture,0.05,11162,"Global Deluxe Stacking Chair, Gray",1,4/18/2020,5986,High,20,19134,0.56,65,East,833,1022,4/19/2020,Delivery Truck,14,Pennsylvania,51
Computer Peripherals,Philadelphia,Small Pack,1282,Dana Sharpe,Small Business,Technology,0.03,10762,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",1,4/18/2020,5986,High,41,19134,0.66,-149,East,834,205,4/19/2020,Regular Air,5,Pennsylvania,5
Telephones and Communication,Houston,Small Box,3106,Alexander O'Brien,Home Office,Technology,0.01,10897,StarTAC 7760,1,4/9/2019,6180,Medium,49,77041,0.59,590,Central,862,2721,4/11/2019,Regular Air,4,Texas,66
Office Machines,Oxford,Jumbo Drum,491,Toni Swanson,Consumer,Technology,0.02,10036,Okidata ML395C Color Dot Matrix Printer,1,12/18/2017,6562,Critical,22,1540,0.59,2028,East,914,31671,12/20/2017,Delivery Truck,15,Massachusetts,1360
Telephones and Communication,Los Angeles,Small Pack,1044,Erin Ballard,Home Office,Technology,0.08,10616,Accessory24,1,3/23/2020,6950,Low,4,90004,0.59,-225,West,960,187,3/25/2020,Regular Air,3,California,56
Tables,Irving,Jumbo Box,962,Yvonne Clarke,Home Office,Furniture,0.07,10852,Bretford Rectangular Conference Table Tops,1,1/6/2020,7042,Medium,4,75061,0.74,-555,Central,969,1188,1/8/2020,Delivery Truck,86,Texas,376
Appliances,Oxford,Medium Box,2747,Brian Grady,Corporate,Office Supplies,0.01,10937,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",1,4/9/2018,7078,High,9,1540,0.42,-8,East,975,112,4/11/2018,Regular Air,6,Massachusetts,11
