Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item,Item ID,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Appliances,Irving,Large Box,94,Eddie House Mueller,Home Office,Office Supplies,Euro Pro Shark Stick Mini Vacuum,10505,3/16/2020,1856,Not Specified,75061,Central,267,3/18/2020,Regular Air,Texas,0.08,24,0.59,-712,1449,49,61
Telephones and Communication,Irving,Small Box,94,Eddie House Mueller,Home Office,Technology,M3682,10858,3/16/2020,1856,Not Specified,75061,Central,268,3/17/2020,Regular Air,Texas,0.05,43,0.57,973,4375,8,126
Telephones and Communication,Irving,Small Box,94,Eddie House Mueller,Home Office,Technology,StarTAC 6500,10959,3/16/2020,1856,Not Specified,75061,Central,269,3/17/2020,Regular Air,Texas,0.1,44,0.59,676,4283,9,126
Chairs & Chairmats,Seattle,Jumbo Drum,2645,Ronnie Dodson,Consumer,Furniture,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,10592,7/6/2020,2209,High,98103,West,316,7/8/2020,Delivery Truck,Washington,0,38,0.57,2245,13256,59,321
Paper,Seattle,Wrap Bag,2645,Ronnie Dodson,Consumer,Office Supplies,Wirebound Voice Message Log Book,10728,7/6/2020,2209,High,98103,West,317,7/7/2020,Regular Air,Washington,0.02,1,0.39,-2,6,1,5
Pens & Art Supplies,Seattle,Wrap Bag,2645,Ronnie Dodson,Consumer,Office Supplies,Newell 336,10799,7/6/2020,2209,High,98103,West,318,7/6/2020,Regular Air,Washington,0.08,59,0.56,26,245,1,4
Telephones and Communication,Seattle,Small Box,2645,Ronnie Dodson,Consumer,Technology,270c,10554,7/6/2020,2209,High,98103,West,319,7/7/2020,Regular Air,Washington,0.1,18,0.59,-161,1752,3,126
Binders and Binder Accessories,Washington,Small Box,1193,Louis Parrish,Consumer,Office Supplies,Durable Pressboard Binders,10935,9/1/2019,2309,Low,20016,East,340,9/3/2019,Regular Air,District of Columbia,0.05,14,0.38,-1,54,1,4
Office Furnishings,Los Angeles,Small Box,1314,Keith Marsh,Home Office,Furniture,Eldon Executive Woodline II Cherry Finish Desk Accessories,10571,4/29/2019,2311,High,90058,West,341,4/30/2019,Regular Air,California,0.01,49,0.57,95,2093,19,41
Appliances,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",11168,8/17/2018,2368,Critical,28206,South,344,8/19/2018,Regular Air,North Carolina,0.08,65,0.43,-305,919,13,15
Office Machines,Los Angeles,Jumbo Drum,553,Kristine Connolly,Corporate,Technology,Lexmark 4227 Plus Dot Matrix Printer,10122,8/19/2017,2433,Not Specified,90008,West,349,8/19/2017,Delivery Truck,California,0.07,25,0.55,4073,43046,15,2036
Office Machines,Oxford,Jumbo Drum,607,Clara Hauser,Corporate,Technology,Panasonic KX-P1150 Dot Matrix Printer,10812,7/13/2019,2467,Not Specified,1540,East,355,7/14/2019,Delivery Truck,Massachusetts,0.09,41,0.56,587,5668,18,145
Telephones and Communication,New York City,Small Box,2303,Joe Baldwin,Corporate,Technology,i470,10107,8/23/2020,2497,Critical,10011,East,356,8/25/2020,Regular Air,New York,0.06,42,0.56,636,7258,5,206
Labels,Boston,Small Box,478,Michael Wiggins,Small Business,Office Supplies,Avery 494,10701,11/16/2018,2563,Not Specified,2129,East,370,11/17/2018,Regular Air,Massachusetts,0.04,41,0.39,8,109,1,3
Pens & Art Supplies,Boston,Wrap Bag,478,Michael Wiggins,Small Business,Office Supplies,Newell 315,10582,11/16/2018,2563,Not Specified,2129,East,371,11/17/2018,Regular Air,Massachusetts,0.01,112,0.6,46,706,1,6
"Scissors, Rulers and Trimmers",New City,Small Pack,2107,Leigh Burnette Hurley,Corporate,Office Supplies,"Acme® 8"" Straight Scissors",10506,7/17/2019,2757,High,10956,East,407,7/18/2019,Express Air,New York,0.05,57,0.6,84,773,3,13
Computer Peripherals,Boston,Small Box,478,Michael Wiggins,Small Business,Technology,Belkin ErgoBoard™ Keyboard,11239,11/22/2018,2759,Not Specified,2129,East,408,11/24/2018,Regular Air,Massachusetts,0,85,0.64,45,2813,7,31
Paper,Seattle,Small Box,2645,Ronnie Dodson,Consumer,Office Supplies,Xerox 1930,10732,4/23/2019,2947,Critical,98103,West,439,4/25/2019,Regular Air,Washington,0.05,9,0.36,-29,64,7,6
Telephones and Communication,Boston,Small Box,68,Scott Bunn,Corporate,Technology,iDEN i550,10003,4/30/2019,2978,Critical,2129,East,441,5/1/2019,Regular Air,Massachusetts,0.01,53,0.6,1312,9765,20,206
Envelopes,Boston,Small Box,68,Scott Bunn,Corporate,Office Supplies,Multimedia Mailers,10290,4/30/2019,2978,Critical,2129,East,442,5/2/2019,Regular Air,Massachusetts,0.09,57,0.39,2078,8567,20,163
Telephones and Communication,Boston,Small Box,68,Scott Bunn,Corporate,Technology,2160i,11039,4/30/2019,2978,Critical,2129,East,443,5/1/2019,Regular Air,Massachusetts,0.07,44,0.59,947,7340,4,201
Envelopes,Seattle,Small Box,640,Neal Wolfe,Consumer,Office Supplies,Multimedia Mailers,10290,11/5/2019,3008,Medium,98119,West,444,11/6/2019,Regular Air,Washington,0.01,139,0.39,3081,23161,20,163
Pens & Art Supplies,Oxford,Wrap Bag,699,Jenny Gold,Consumer,Office Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",11250,11/18/2017,3042,Medium,1540,East,448,11/19/2017,Regular Air,Massachusetts,0.1,88,0.44,15,352,1,4
Pens & Art Supplies,Boston,Small Pack,2618,Amy Hamrick Melvin,Corporate,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",10467,8/6/2020,3136,Not Specified,2129,East,461,8/8/2020,Regular Air,Massachusetts,0.1,16,0.58,-39,477,9,31
Computer Peripherals,Atlanta,Small Box,471,Ross Simpson,Consumer,Technology,Motorola SB4200 Cable Modem,10661,2/6/2017,3138,Not Specified,30318,South,462,2/6/2017,Express Air,Georgia,0.07,4,0.48,-569,718,20,180
Binders and Binder Accessories,Boston,Small Box,1129,Pam Patton,Corporate,Office Supplies,Durable Pressboard Binders,10935,3/14/2019,3266,Low,2118,East,473,3/18/2019,Regular Air,Massachusetts,0.03,4,0.38,-3,17,1,4
Office Machines,Atlanta,Jumbo Drum,1745,Herbert Holden,Home Office,Technology,Panasonic KX-P1131 Dot Matrix Printer,10686,12/29/2019,3271,Critical,30305,South,474,12/29/2019,Delivery Truck,Georgia,0.07,90,0.58,1845,23066,18,265
Paper,Atlanta,Wrap Bag,1745,Herbert Holden,Home Office,Office Supplies,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",10142,12/29/2019,3271,Critical,30305,South,475,1/1/2020,Express Air,Georgia,0.06,36,0.35,34,292,1,8
Pens & Art Supplies,Miami,Wrap Bag,342,Jacqueline Noble,Corporate,Office Supplies,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",10045,11/2/2017,3332,Critical,33181,South,480,11/4/2017,Regular Air,Florida,0.01,20,0.41,-5,74,2,3
Computer Peripherals,Boston,Small Box,102,Caroline Johnston,Consumer,Technology,Belkin 105-Key Black Keyboard,10752,6/20/2017,3397,Medium,2129,East,494,6/22/2017,Regular Air,Massachusetts,0.1,65,0.68,-20,1233,4,20
Binders and Binder Accessories,Boston,Small Box,102,Caroline Johnston,Consumer,Office Supplies,Avery Durable Binders,11020,6/20/2017,3397,Medium,2129,East,495,6/21/2017,Regular Air,Massachusetts,0.09,17,0.36,-3,47,1,3
Storage & Organization,Philadelphia,Small Box,3079,Andrew Levine,Consumer,Office Supplies,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",10817,9/30/2019,3460,High,19112,East,500,10/2/2019,Regular Air,Pennsylvania,0.08,53,0.68,-114,301,5,6
Paper,Boston,Small Box,2498,Arlene Long,Small Business,Office Supplies,Computer Printout Paper with Letter-Trim Perforations,11073,4/29/2020,3524,High,2129,East,513,4/30/2020,Regular Air,Massachusetts,0,27,0.37,52,549,9,19
Paper,Oxford,Wrap Bag,181,Wesley Waller,Corporate,Office Supplies,Riverleaf Stik-Withit® Designer Note Cubes®,10764,11/19/2020,3585,High,1540,East,521,11/19/2020,Regular Air,Massachusetts,0.07,97,0.39,78,933,2,10
Pens & Art Supplies,Oxford,Wrap Bag,181,Wesley Waller,Corporate,Office Supplies,Newell 323,10841,11/20/2017,3585,High,1540,East,522,11/21/2017,Regular Air,Massachusetts,0.07,116,0.59,-36,187,2,2
Envelopes,Washington,Small Box,1193,Louis Parrish,Small Business,Office Supplies,Staples Brown Kraft Recycled Clasp Envelopes,11235,5/2/2020,3621,Medium,20016,East,532,5/3/2020,Regular Air,District of Columbia,0.06,18,0.35,-29,108,5,6
Pens & Art Supplies,New York City,Wrap Bag,2382,Geoffrey Saunders,Small Business,Office Supplies,Newell 35,10306,1/14/2020,3685,Medium,10024,East,548,1/15/2020,Regular Air,New York,0,32,0.56,-157,118,5,3
Appliances,Washington,Large Box,1733,Nina Horne Kelly,Small Business,Office Supplies,Euro Pro Shark Stick Mini Vacuum,10505,10/2/2017,3841,Not Specified,20012,East,566,10/4/2017,Regular Air,District of Columbia,0.02,34,0.59,-663,2120,49,61
Binders and Binder Accessories,Washington,Small Box,1733,Nina Horne Kelly,Small Business,Office Supplies,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,10202,10/2/2017,3841,Not Specified,20012,East,567,10/4/2017,Regular Air,District of Columbia,0.02,36,0.35,9228,45737,20,1271
Telephones and Communication,Washington,Small Box,1733,Nina Horne Kelly,Small Business,Technology,StarTAC 8000,10095,10/1/2020,3841,Not Specified,20012,East,568,10/3/2020,Express Air,District of Columbia,0.05,90,0.6,1680,15296,9,206
Chairs & Chairmats,Coachella,Jumbo Drum,2403,Kara Gregory,Consumer,Furniture,"Global Push Button Manager's Chair, Indigo",10291,12/18/2018,3905,Not Specified,92236,West,573,12/19/2018,Delivery Truck,California,0.03,78,0.56,-377,4713,32,61
Pens & Art Supplies,Boston,Wrap Bag,3011,Tammy Raynor,Corporate,Office Supplies,*Staples* Highlighting Markers,10690,5/4/2018,4004,Medium,2113,East,584,5/7/2018,Regular Air,Massachusetts,0.1,20,0.52,9,91,1,5
Pens & Art Supplies,Boston,Small Pack,3011,Tammy Raynor,Corporate,Office Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,10474,5/4/2018,4004,Medium,2113,East,585,5/5/2018,Regular Air,Massachusetts,0.05,64,0.56,195,2200,9,35
Office Furnishings,New York City,Small Pack,2382,Geoffrey Saunders,Small Business,Furniture,"Eldon Regeneration Recycled Desk Accessories, Smoke",11114,8/11/2020,4294,Medium,10024,East,622,8/13/2020,Regular Air,New York,0.02,16,0.53,-15,35,4,2
Computer Peripherals,Boston,Small Pack,2548,Wayne Bass,Small Business,Technology,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",10692,6/15/2018,4610,Low,2129,East,653,6/17/2018,Regular Air,Massachusetts,0.09,12,0.52,-17,100,2,8
Envelopes,Boston,Small Box,2548,Wayne Bass,Small Business,Office Supplies,"#10 White Business Envelopes,4 1/8 x 9 1/2",10992,6/15/2018,4610,Low,2129,East,654,6/19/2018,Regular Air,Massachusetts,0.08,44,0.38,203,679,1,16
Chairs & Chairmats,Dallas,Jumbo Drum,667,Allison Kirby,Corporate,Furniture,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",10712,4/15/2020,4674,Critical,75203,Central,667,4/16/2020,Delivery Truck,Texas,0.02,23,0.78,-260,3041,30,131
Labels,Miami,Small Box,349,Kim Weiss,Home Office,Office Supplies,Avery 49,10113,4/11/2019,4769,Not Specified,33132,South,682,4/12/2019,Regular Air,Florida,0.01,46,0.36,33,132,1,3
Tables,Oxford,Jumbo Box,699,Jenny Gold,Consumer,Furniture,Hon iLevel™ Computer Training Table,10883,12/10/2020,4771,Critical,1540,East,683,12/12/2020,Delivery Truck,Massachusetts,0.04,8,0.65,-126,272,46,32
Paper,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Office Supplies,Xerox 227,10629,5/7/2017,4839,Critical,28206,South,694,5/7/2017,Regular Air,North Carolina,0.05,35,0.37,-160,233,9,6
Chairs & Chairmats,Boston,Medium Box,1488,Anthony Goodwin,Home Office,Furniture,SAFCO Folding Chair Trolley,10798,8/23/2019,5153,Critical,2129,East,719,8/25/2019,Express Air,Massachusetts,0.04,73,0,1468,9662,13,128
Appliances,New City,Small Box,2107,Leigh Burnette Hurley,Home Office,Office Supplies,Belkin 8 Outlet Surge Protector,11220,10/10/2019,5217,High,10956,East,725,10/10/2019,Express Air,New York,0.03,16,0.57,22,679,5,41
Labels,New City,Small Box,2107,Leigh Burnette Hurley,Home Office,Office Supplies,Avery 481,11130,10/10/2019,5217,High,10956,East,726,10/12/2019,Regular Air,New York,0.09,22,0.37,3,67,1,3
Office Furnishings,Miami,Medium Box,1959,Bonnie Matthews Rowland,Home Office,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,11042,12/23/2018,5346,Critical,33916,South,741,12/24/2018,Regular Air,Florida,0.07,63,0.74,-1927,5435,56,91
Tables,Miami,Jumbo Box,1959,Bonnie Matthews Rowland,Home Office,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,11093,12/23/2018,5346,Critical,33916,South,742,12/25/2018,Delivery Truck,Florida,0.1,83,0.77,-2342,16959,70,219
Bookcases,Miami,Jumbo Box,1959,Bonnie Matthews Rowland,Home Office,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",11015,12/23/2018,5346,Critical,33916,South,743,12/25/2018,Delivery Truck,Florida,0.08,31,0.77,-606,4167,36,141
Paper,Oxford,Small Box,491,Toni Swanson,Consumer,Office Supplies,Xerox 21,10976,7/17/2020,5441,Not Specified,1540,East,757,7/19/2020,Regular Air,Massachusetts,0.02,48,0.37,-92,320,7,6
Storage & Organization,Oxford,Small Box,491,Toni Swanson,Consumer,Office Supplies,Advantus Rolling Storage Box,10159,7/17/2020,5441,Not Specified,1540,East,758,7/18/2020,Regular Air,Massachusetts,0.04,22,0.58,6,384,5,17
Copiers and Fax,Miami,Large Box,1291,Maria Jackson,Small Business,Technology,Canon PC940 Copier,10360,3/15/2019,5444,Critical,33180,South,759,3/17/2019,Regular Air,Florida,0.08,2,0.52,-2692,886,24,450
Paper,Detroit,Small Box,198,Leroy Blanchard,Small Business,Office Supplies,HP Office Recycled Paper (20Lb. and 87 Bright),10525,1/3/2020,5504,High,48138,Central,767,1/5/2020,Express Air,Michigan,0.06,7,0.36,-33,58,8,6
Telephones and Communication,Detroit,Small Box,198,Leroy Blanchard,Small Business,Technology,KF 788,10691,1/3/2018,5504,High,48138,Central,768,1/5/2018,Regular Air,Michigan,0.04,15,0.56,8,607,5,46
Envelopes,Charlotte,Small Box,272,Eleanor Swain,Home Office,Office Supplies,Staples Brown Kraft Recycled Clasp Envelopes,11235,4/5/2017,5509,Low,28204,South,770,4/10/2017,Regular Air,North Carolina,0.02,11,0.35,-30,68,5,6
Office Furnishings,Charlotte,Small Box,272,Eleanor Swain,Home Office,Furniture,Eldon Executive Woodline II Cherry Finish Desk Accessories,10571,4/5/2017,5509,Low,28204,South,771,4/12/2017,Regular Air,North Carolina,0.03,21,0.57,53,885,19,41
Appliances,Philadelphia,Small Box,1313,Katherine Knight,Corporate,Office Supplies,Belkin Premiere Surge Master II 8-outlet surge protector,10687,9/22/2018,5543,Medium,19134,East,778,9/24/2018,Regular Air,Pennsylvania,0.04,27,0.56,138,1266,4,49
Paper,Philadelphia,Wrap Bag,1313,Katherine Knight,Corporate,Office Supplies,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",10139,9/22/2018,5543,Medium,19134,East,779,9/25/2018,Regular Air,Pennsylvania,0.04,11,0.38,11,121,2,10
"Scissors, Rulers and Trimmers",Philadelphia,Wrap Bag,1313,Katherine Knight,Corporate,Office Supplies,*Staples* Letter Opener,10161,9/22/2018,5543,Medium,19134,East,780,9/24/2018,Regular Air,Pennsylvania,0.02,49,0.81,-115,122,5,2
Computer Peripherals,Boston,Small Box,1413,Pamela Wiley,Corporate,Technology,US Robotics 56K V.92 External Faxmodem,10693,9/4/2018,5702,Not Specified,2113,East,799,9/6/2018,Regular Air,Massachusetts,0.01,36,0.52,200,3671,20,100
Paper,Atlanta,Small Box,1745,Herbert Holden,Consumer,Office Supplies,Xerox 1881,11260,5/13/2018,5703,Medium,30305,South,800,5/14/2018,Regular Air,Georgia,0.06,42,0.38,7,518,6,12
Telephones and Communication,Oxford,Wrap Bag,949,Ernest Oh,Consumer,Technology,Accessory21,11091,10/31/2020,5890,High,1540,East,815,11/1/2020,Express Air,Massachusetts,0,151,0.37,436,2925,1,21
Storage & Organization,Oxford,Small Box,2431,Troy Cassidy,Consumer,Office Supplies,"Dual Level, Single-Width Filing Carts",10770,11/17/2017,5920,High,1540,East,819,11/17/2017,Regular Air,Massachusetts,0.07,14,0.59,-122,2039,7,155
Appliances,Washington,Small Box,1193,Louis Parrish,Consumer,Office Supplies,Belkin 6 Outlet Metallic Surge Strip,10462,6/14/2020,5984,Low,20016,East,829,6/19/2020,Regular Air,District of Columbia,0.06,56,0.59,-31,597,5,11
Office Furnishings,Washington,Small Box,1193,Louis Parrish,Consumer,Furniture,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",10726,6/15/2017,5984,Low,20016,East,830,6/20/2017,Regular Air,District of Columbia,0.03,63,0.57,14,697,5,11
Office Furnishings,Washington,Small Box,1193,Louis Parrish,Consumer,Furniture,Staples Plastic Wall Frames,10568,6/15/2017,5984,Low,20016,East,831,6/17/2017,Regular Air,District of Columbia,0.03,17,0.41,22,149,5,8
Appliances,Philadelphia,Small Box,1282,Dana Sharpe,Small Business,Office Supplies,"Belkin 325VA UPS Surge Protector, 6'",10182,4/18/2020,5986,High,19134,East,832,4/18/2020,Regular Air,Pennsylvania,0.08,48,0.6,1638,5556,4,121
Chairs & Chairmats,Philadelphia,Jumbo Drum,1282,Dana Sharpe,Small Business,Furniture,"Global Deluxe Stacking Chair, Gray",11162,4/18/2020,5986,High,19134,East,833,4/19/2020,Delivery Truck,Pennsylvania,0.05,20,0.56,65,1022,14,51
Computer Peripherals,Philadelphia,Small Pack,1282,Dana Sharpe,Small Business,Technology,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",10762,4/18/2020,5986,High,19134,East,834,4/19/2020,Regular Air,Pennsylvania,0.03,41,0.66,-149,205,5,5
Telephones and Communication,Houston,Small Box,3106,Alexander O'Brien,Home Office,Technology,StarTAC 7760,10897,4/9/2019,6180,Medium,77041,Central,862,4/11/2019,Regular Air,Texas,0.01,49,0.59,590,2721,4,66
Office Machines,Oxford,Jumbo Drum,491,Toni Swanson,Consumer,Technology,Okidata ML395C Color Dot Matrix Printer,10036,12/18/2017,6562,Critical,1540,East,914,12/20/2017,Delivery Truck,Massachusetts,0.02,22,0.59,2028,31671,15,1360
Telephones and Communication,Los Angeles,Small Pack,1044,Erin Ballard,Home Office,Technology,Accessory24,10616,3/23/2020,6950,Low,90004,West,960,3/25/2020,Regular Air,California,0.08,4,0.59,-225,187,3,56
Tables,Irving,Jumbo Box,962,Yvonne Clarke,Home Office,Furniture,Bretford Rectangular Conference Table Tops,10852,1/6/2020,7042,Medium,75061,Central,969,1/8/2020,Delivery Truck,Texas,0.07,4,0.74,-555,1188,86,376
Appliances,Oxford,Medium Box,2747,Brian Grady,Corporate,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",10937,4/9/2018,7078,High,1540,East,975,4/11/2018,Regular Air,Massachusetts,0.01,9,0.42,-8,112,6,11
Binders and Binder Accessories,Oxford,Small Box,2747,Brian Grady,Corporate,Office Supplies,Cardinal Poly Pocket Divider Pockets for Ring Binders,10907,4/9/2018,7078,High,1540,East,976,4/10/2018,Express Air,Massachusetts,0.1,11,0.4,-47,50,6,3
Chairs & Chairmats,Oxford,Jumbo Drum,2747,Brian Grady,Corporate,Furniture,"Global High-Back Leather Tilter, Burgundy",11166,4/9/2018,7078,High,1540,East,977,4/11/2018,Delivery Truck,Massachusetts,0.05,16,0.74,-886,1940,70,123
