Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Discount,Item ID,Item,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Postal Code,Product Base Margin,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price
Pens & Art Supplies,Santa Fe,Wrap Bag,259,Edward Pugh,Consumer,Office Supplies,0.09,11149,Newell 340,1,11/14/2015,85857,Low,10,87505,0.56,6,West,4/23/1949,26,11/17/2016,Regular Air,1,New Mexico,3
Office Machines,South Burlington,Jumbo Box,659,Marjorie Arthur,Consumer,Technology,0,11170,Hewlett-Packard 2600DN Business Color Inkjet Printer,1,11/26/2015,91212,Critical,5,05403,0.39,-126,East,2/24/1957,616,11/29/2016,Delivery Truck,56,Vermont,120
Appliances,Southbury,Small Box,3095,Milton Lindsay,Consumer,Office Supplies,0.09,10039,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,1,8/10/2016,86220,Critical,5,06488,0.55,684,East,9/25/1955,991,8/11/2017,Regular Air,1,Connecticut,207
Paper,Oxford,Small Box,657,Derek McCormick,Consumer,Office Supplies,0.1,11073,Computer Printout Paper with Letter-Trim Perforations,1,11/23/2017,91212,Critical,1,01540,0.37,-24,East,2/23/1957,20,11/24/2018,Regular Air,9,Massachusetts,19
Appliances,Sanford,Small Box,3155,Julian Keith Mayer,Corporate,Office Supplies,0.02,10425,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",1,1/14/2017,86898,Critical,9,32771,0.57,-194,South,1/16/1964,542,1/15/2018,Regular Air,4,Florida,60
Office Machines,Oxford,Medium Box,1027,Brian Bennett,Small Business,Technology,0.05,10339,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,1,1/7/2017,89004,High,9,01540,0.37,330,East,1/17/1962,478,1/8/2018,Regular Air,10,Massachusetts,52
Telephones and Communication,Pullman,Small Box,3393,Irene Murphy,Consumer,Technology,0.08,10780,StarTAC 3000,1,11/29/2016,87908,Medium,7,99163,0.59,375,West,1/12/1951,710,11/30/2017,Regular Air,8,Washington,126
Telephones and Communication,Boston,Small Box,638,Brooke Shepherd,Consumer,Technology,0.06,10723,Item 10723,1,2/3/2017,87954,Critical,9,02129,0.58,288,East,10/7/1966,506,2/6/2018,Express Air,9,Massachusetts,66
Telephones and Communication,Seattle,Small Box,640,Neal Wolfe,Consumer,Technology,0.06,10723,Item 10723,1,7/7/2015,45380,Critical,34,98119,0.58,288,West,6/26/1917,1913,7/8/2016,Express Air,9,Washington,66
Pens & Art Supplies,North Las Vegas,Small Pack,2823,Max Hurley,Corporate,Office Supplies,0.02,11121,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,1,12/1/2015,87240,Low,11,89031,0.55,166,West,3/2/1965,240,12/2/2016,Regular Air,3,Nevada,22
Telephones and Communication,Boston,Small Box,638,Brooke Shepherd,Consumer,Technology,0,10346,KH 688,1,2/3/2017,87954,Critical,6,02129,0.57,719,East,10/8/1966,1043,2/6/2018,Express Air,4,Massachusetts,196
Telephones and Communication,Seattle,Small Box,640,Neal Wolfe,Consumer,Technology,0,10346,KH 688,1,7/6/2016,45380,Critical,24,98119,0.57,1031,West,6/27/1917,4171,7/7/2017,Express Air,4,Washington,196
Storage & Organization,Austin,Small Box,381,Danielle Watts,Corporate,Office Supplies,0.07,10091,Deluxe Rollaway Locking File with Drawer,1,7/20/2016,88929,Not Specified,1,78745,0.57,-540,Central,4/30/1961,395,7/21/2017,Regular Air,11,Texas,416
Binders and Binder Accessories,Sandy Springs,Small Box,2394,John Walvoord,Corporate,Office Supplies,0.03,11131,Presstex Flexible Ring Binders,1,12/8/2017,86949,Critical,9,30328,0.35,100,South,4/19/1955,40,12/11/2018,Regular Air,1,Georgia,5
Office Furnishings,West Valley City,Small Pack,1383,Christina Hanna,Consumer,Furniture,0.03,11212,Eldon Pizzaz� Desk Accessories,1,12/3/2017,89406,Medium,12,84120,0.41,-93,West,1/25/1952,29,12/5/2018,Regular Air,5,Utah,2
Paper,Chattanooga,Small Box,2724,Erika Clapp,Home Office,Office Supplies,0.06,10534,Xerox 1922,1,1/3/2017,88959,Critical,10,37421,0.36,-38,South,7/2/1954,53,1/4/2018,Regular Air,7,Tennessee,5
Binders and Binder Accessories,Sandy Springs,Small Box,2394,John Walvoord,Corporate,Office Supplies,0.01,11238,Fellowes Binding Cases,1,12/10/2016,86949,Critical,16,30328,0.4,39,South,4/18/1955,197,12/11/2017,Regular Air,6,Georgia,12
Paper,Chattanooga,Small Box,2724,Erika Clapp,Home Office,Office Supplies,0.01,10828,Xerox 210,1,1/3/2017,88959,Critical,18,37421,0.37,-450,South,7/3/1954,123,1/4/2018,Regular Air,7,Tennessee,6
Office Furnishings,Oxford,Small Box,1271,Joanne Church,Corporate,Furniture,0.1,10731,Hand-Finished Solid Wood Document Frame,1,2/22/2017,88411,Low,7,01540,0.55,152,East,2/8/1953,220,2/23/2018,Regular Air,5,Massachusetts,34
Paper,Oxford,Wrap Bag,2531,Rick Houston,Small Business,Office Supplies,0.08,11045,EcoTones� Memo Sheets,1,2/7/2017,87452,Medium,14,01540,0.37,28,East,2/9/1965,52,2/8/2018,Regular Air,1,Massachusetts,4
Office Furnishings,Alamogordo,Small Box,1869,Roberta Daniel,Consumer,Furniture,0.08,10230,"6"" Cubicle Wall Clock, Black",1,11/10/2015,89209,Not Specified,10,88310,0.49,-89,West,9/8/1951,80,11/11/2016,Regular Air,8,New Mexico,8
Office Furnishings,Fairfield,Large Box,1680,Esther Whitaker,Consumer,Furniture,0.03,10940,Electrix Fluorescent Magnifier Lamps & Weighted Base,1,7/16/2016,86645,Low,17,45014,0.57,555,East,5/28/1964,817,7/17/2017,Regular Air,10,Ohio,49
Envelopes,Fairfield,Small Box,1680,Esther Whitaker,Consumer,Office Supplies,0.09,10308,Staples Colored Interoffice Envelopes,1,7/16/2016,86645,Low,18,45014,0.36,-164,East,5/27/1964,515,7/17/2017,Regular Air,20,Ohio,31
Office Furnishings,Medford,Small Box,335,Curtis O'Connell,Corporate,Furniture,0.09,10324,"Eldon� 200 Class� Desk Accessories, Burgundy",1,9/25/2017,87277,Critical,1,97504,0.43,-5,West,12/30/1949,9,9/26/2018,Regular Air,5,Oregon,6
Telephones and Communication,Eagle,Small Box,3356,Charles Ryrie,Corporate,Technology,0.04,10171,Item 10171,1,10/30/2017,88588,Medium,15,83616,0.56,605,West,1/2/1951,877,10/31/2018,Express Air,6,Idaho,66
Chairs & Chairmats,Eagle,Jumbo Drum,3356,Charles Ryrie,Corporate,Furniture,0.03,10814,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,1,11/1/2016,88588,Medium,18,83616,0.62,1305,West,1/1/1951,2934,11/2/2017,Delivery Truck,30,Idaho,161
Chairs & Chairmats,Medford,Large Box,335,Curtis O'Connell,Corporate,Furniture,0.06,10512,SAFCO Arco Folding Chair,1,9/27/2016,87277,Critical,14,97504,0,2639,West,12/29/1949,3825,9/28/2017,Regular Air,24,Oregon,276
Binders and Binder Accessories,Eagle,Small Box,3356,Charles Ryrie,Corporate,Office Supplies,0.07,10059,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",1,11/1/2016,88588,Medium,13,83616,0.39,-116,West,12/31/1950,67,11/2/2017,Regular Air,6,Idaho,5
Storage & Organization,Oxford,Small Box,411,Carolyn Proctor,Consumer,Office Supplies,0.05,10724,"Hot File� 7-Pocket, Floor Stand",1,10/1/2016,87905,High,9,01540,0.55,943,East,6/14/1950,1531,10/2/2017,Express Air,20,Massachusetts,178
Appliances,Harlingen,Small Box,2273,Debra Block,Corporate,Office Supplies,0.04,10182,"Belkin 325VA UPS Surge Protector, 6'",1,8/4/2016,90109,Low,17,78550,0.6,1390,Central,2/9/1964,2014,8/5/2017,Regular Air,4,Texas,121
Paper,South Portland,Small Box,2509,Sidney Larson,Home Office,Office Supplies,0.05,10233,Xerox 1951,1,7/26/2017,87029,Medium,15,04106,0.4,309,East,1/3/1960,463,7/27/2018,Regular Air,9,Maine,31
Telephones and Communication,Harlingen,Small Pack,2273,Debra Block,Corporate,Technology,0.02,10699,Accessory36,1,8/4/2016,90109,Low,4,78550,0.83,-223,Central,2/10/1964,201,8/5/2017,Regular Air,5,Texas,56
Appliances,Grand Rapids,Jumbo Drum,2380,Lisa Branch,Small Business,Office Supplies,0.08,10977,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1,1/24/2017,86655,Low,17,49505,0.41,-1070,Central,9/11/1949,1162,1/26/2018,Delivery Truck,60,Michigan,69
Appliances,New York City,Jumbo Drum,2382,Geoffrey Saunders,Small Business,Office Supplies,0.08,10977,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1,5/6/2014,962,Low,68,10024,0.41,-1070,East,5/31/1900,4650,5/5/2016,Delivery Truck,60,New York,69
Binders and Binder Accessories,Garden City,Small Box,2379,Mildred Briggs,Small Business,Office Supplies,0.06,10837,GBC Therma-A-Bind 250T Electric Binding System,1,1/24/2017,86655,Low,12,48135,0.37,1020,Central,9/10/1949,1478,1/26/2018,Regular Air,20,Michigan,123
Binders and Binder Accessories,New York City,Small Box,2382,Geoffrey Saunders,Small Business,Office Supplies,0.06,10837,GBC Therma-A-Bind 250T Electric Binding System,1,5/6/2014,962,Low,48,10024,0.37,1408,East,5/30/1900,5911,5/5/2016,Regular Air,20,New York,123
Office Furnishings,Houston,Jumbo Drum,2274,Marlene Harrison,Corporate,Furniture,0.05,10995,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",1,8/2/2017,90109,Low,12,77036,0.62,-134,Central,2/11/1964,299,8/3/2018,Delivery Truck,16,Texas,24
Paper,Richmond,Wrap Bag,2420,Wesley Cho,Consumer,Office Supplies,0.04,11253,"Black Print Carbonless Snap-Off� Rapid Letter, 8 1/2"" x 7""",1,8/27/2015,86752,High,11,23223,0.4,-23,South,3/9/1969,101,8/30/2016,Regular Air,2,Virginia,9
Tables,New York City,Jumbo Box,1416,Betsy Gibson,Small Business,Furniture,0.02,10515,Bretford �Just In Time� Height-Adjustable Multi-Task Work Tables,1,7/28/2016,90538,Critical,1,10024,0.79,-635,East,10/18/1968,471,7/29/2017,Delivery Truck,75,New York,417
Paper,Tampa,Small Box,3338,Constance Robertson,Consumer,Office Supplies,0.08,11209,Xerox 212,1,9/18/2016,85979,High,7,33614,0.37,59,South,9/1/1958,45,9/22/2017,Regular Air,8,Florida,6
Bookcases,Norfolk,Jumbo Box,445,Judy Barrett,Small Business,Furniture,0.09,10244,O'Sullivan Living Dimensions 3-Shelf Bookcases,1,9/20/2017,88084,High,9,68701,0.75,-513,Central,4/30/1965,1767,9/21/2018,Delivery Truck,56,Nebraska,201
Computer Peripherals,Glendale,Small Pack,353,Bonnie Chambers,Home Office,Technology,0.08,10762,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",1,8/24/2015,89647,Low,17,85301,0.66,-165,West,4/23/1952,85,8/25/2016,Express Air,5,Arizona,5
Pens & Art Supplies,Norfolk,Wrap Bag,445,Judy Barrett,Small Business,Office Supplies,0.09,10715,Newell 333,1,9/23/2015,88084,High,11,68701,0.59,-4,Central,5/1/1965,29,9/24/2016,Regular Air,1,Nebraska,3
Paper,Medina,Small Box,2216,Clara Kaplan,Corporate,Office Supplies,0.01,10761,Xerox 23,1,1/5/2017,90314,Low,10,44256,0.37,-27,East,5/17/1964,67,1/6/2018,Regular Air,5,Ohio,6
Computer Peripherals,Medina,Small Box,2216,Clara Kaplan,Corporate,Technology,0.02,10382,Hayes Optima 56K V.90 Internal Voice Modem,1,1/5/2017,90314,Low,3,44256,0.51,-214,East,5/16/1964,808,1/6/2018,Regular Air,11,Ohio,257
Office Furnishings,Frankfort,Small Box,721,Melvin Duke,Corporate,Furniture,0.04,10726,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",1,6/24/2014,91053,Not Specified,6,46041,0.57,24,Central,6/27/1956,67,6/24/2016,Regular Air,5,Indiana,11
Pens & Art Supplies,Frankfort,Wrap Bag,721,Melvin Duke,Corporate,Office Supplies,0.03,10420,Prang Drawing Pencil Set,1,6/25/2014,91053,Not Specified,15,46041,0.45,7,Central,6/28/1956,43,6/24/2016,Express Air,1,Indiana,3
Envelopes,Coos Bay,Small Box,3325,Diane Barr,Consumer,Office Supplies,0,11099,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,10/20/2016,90986,Low,14,97420,0.38,-79,West,2/3/1956,132,10/21/2017,Regular Air,8,Oregon,9
Telephones and Communication,Rogers,Wrap Bag,2044,Lewis Chafer,Corporate,Technology,0.09,11135,Accessory37,1,2/22/2017,88692,Low,6,72756,0.81,-136,South,9/16/1967,100,2/23/2018,Regular Air,3,Arkansas,21
Tables,Reynoldsburg,Jumbo Box,2903,Frances Powers,Small Business,Furniture,0.06,10922,KI Conference Tables,1,6/24/2014,87374,Not Specified,6,43068,0.72,65,East,5/20/1963,364,6/25/2016,Delivery Truck,89,Ohio,71
Telephones and Communication,Auburn,Small Box,447,Joe Mako,Corporate,Technology,0.05,11039,2160i,1,11/6/2015,90449,Not Specified,11,13021,0.59,1269,East,12/2/1953,1839,11/7/2016,Regular Air,4,New York,201
Office Furnishings,Adrian,Large Box,3261,Steven Long,Consumer,Furniture,0.07,10278,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1,10/18/2016,90296,Not Specified,10,49221,0.61,711,Central,10/22/1961,1030,10/19/2017,Express Air,24,Michigan,105
Appliances,Springfield,Small Box,1442,Rodney Field,Corporate,Office Supplies,0.04,11161,Kensington 7 Outlet MasterPiece Power Center,1,1/20/2017,89076,Not Specified,15,65807,0.56,1910,Central,1/26/1962,2768,1/23/2018,Regular Air,1,Missouri,178
Chairs & Chairmats,Auburn,Jumbo Drum,447,Joe Mako,Corporate,Furniture,0.04,10712,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",1,11/3/2017,90449,Not Specified,1,13021,0.78,-83,East,12/1/1953,160,11/6/2018,Delivery Truck,30,New York,131
Bookcases,West Des Moines,Jumbo Box,2987,Natalie Watts,Home Office,Furniture,0.09,11202,"Bush Westfield Collection Bookcases, Fully Assembled",1,11/25/2016,91180,Critical,17,50265,0.62,-104,Central,12/27/1956,1700,12/14/2017,Delivery Truck,36,Iowa,101
Paper,West Des Moines,Small Box,2987,Natalie Watts,Home Office,Office Supplies,0.1,10753,Xerox 196,1,11/25/2016,91180,Critical,6,50265,0.36,-58,Central,12/28/1956,36,12/14/2017,Regular Air,8,Iowa,6
Appliances,Chandler,Medium Box,2801,Jimmy Wang,Home Office,Office Supplies,0,10043,Bionaire 99.97% HEPA Air Cleaner,1,2/8/2017,91049,Low,15,85224,0.5,53,West,6/12/1956,284,2/9/2018,Regular Air,8,Arizona,18
Office Furnishings,Laredo,Large Box,1109,Dennis Welch,Consumer,Furniture,0.08,10563,Westinghouse Clip-On Gooseneck Lamps,1,11/16/2016,86410,Medium,13,78041,0.59,-169,Central,7/18/1961,109,11/17/2017,Regular Air,10,Texas,8
Telephones and Communication,Springville,Small Pack,1183,Becky O'Brien,Home Office,Technology,0.04,11247,Accessory9,1,7/7/2017,86914,Not Specified,9,84663,0.39,184,West,12/3/1958,267,7/10/2018,Regular Air,3,Utah,36
Computer Peripherals,Odenton,Small Box,3374,Jamie Ward,Home Office,Technology,0.05,10873,Keytronic 105-Key Spanish Keyboard,1,7/26/2016,87474,High,8,21113,0.67,-2,East,2/26/1950,600,7/27/2017,Regular Air,12,Maryland,74
Paper,Santa Rosa,Small Box,2448,Melanie Morrow,Consumer,Office Supplies,0.09,10911,Xerox 214,1,10/18/2017,87790,High,16,95404,0.37,-126,West,6/23/1970,97,10/19/2018,Regular Air,7,California,6
Paper,Odenton,Small Box,3374,Jamie Ward,Home Office,Office Supplies,0,11210,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),1,7/26/2016,87474,High,5,21113,0.36,-37,East,2/27/1950,34,7/27/2017,Regular Air,7,Maryland,6
Pens & Art Supplies,Odenton,Small Pack,3374,Jamie Ward,Home Office,Office Supplies,0.09,10541,Barrel Sharpener,1,7/24/2017,87474,High,9,21113,0.59,-57,East,2/28/1950,31,7/25/2018,Regular Air,4,Maryland,4
Rubber Bands,Oxford,Wrap Bag,699,Jenny Gold,Consumer,Office Supplies,0.01,10848,"Staples Vinyl Coated Paper Clips, 800/Box",1,10/29/2016,36647,High,32,01540,0.4,39,East,1/26/1914,274,10/30/2017,Regular Air,3,Massachusetts,8
Rubber Bands,Santa Rosa,Wrap Bag,702,Kelly O'Connor,Consumer,Office Supplies,0.01,10848,"Staples Vinyl Coated Paper Clips, 800/Box",1,10/5/2016,87979,High,8,95404,0.4,46,West,5/9/1963,69,10/16/2017,Regular Air,3,California,8
"Scissors, Rulers and Trimmers",Oxford,Wrap Bag,699,Jenny Gold,Consumer,Office Supplies,0.09,10147,"*Staples* vLetter Openers, 2/Pack",1,10/29/2016,36647,High,24,01540,0.83,-22,East,1/27/1914,83,10/30/2017,Regular Air,1,Massachusetts,4
"Scissors, Rulers and Trimmers",Santa Rosa,Wrap Bag,702,Kelly O'Connor,Consumer,Office Supplies,0.09,10147,"*Staples* vLetter Openers, 2/Pack",1,10/5/2016,87979,High,6,95404,0.83,-18,West,5/10/1963,21,10/16/2017,Regular Air,1,California,4
Computer Peripherals,Westlake,Small Box,1472,Tommy Ellis Ritchie,Home Office,Technology,0.02,10973,Logitech Internet Navigator Keyboard,1,10/5/2017,87078,Not Specified,17,44145,0.79,-45,East,8/4/1965,553,10/6/2018,Express Air,7,Ohio,31
Tables,Orlando,Jumbo Drum,3119,Jay Hubbard,Corporate,Furniture,0.08,11224,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",1,10/5/2015,86432,Critical,11,32839,0,513,South,12/6/1956,3772,10/6/2016,Delivery Truck,60,Florida,349
Storage & Organization,Alexandria,Small Box,1384,George McLamb,Consumer,Office Supplies,0.07,10810,X-Rack� File for Hanging Folders,1,12/5/2017,89407,Not Specified,11,22304,0.59,-163,South,8/10/1970,123,12/7/2018,Regular Air,5,Virginia,11
Storage & Organization,Oxford,Small Box,699,Jenny Gold,Consumer,Office Supplies,0.1,10779,Filing/Storage Totes and Swivel Casters,1,10/27/2017,36647,High,27,01540,0.6,-120,East,1/28/1914,262,10/30/2018,Regular Air,9,Massachusetts,10
Storage & Organization,Santa Rosa,Small Box,702,Kelly O'Connor,Consumer,Office Supplies,0.1,10779,Filing/Storage Totes and Swivel Casters,1,10/3/2017,87979,High,7,95404,0.6,-96,West,5/11/1963,68,10/16/2018,Regular Air,9,California,10
Office Furnishings,Southbury,Small Box,2885,Gary Frazier,Consumer,Furniture,0.05,10386,"Howard Miller 16"" Diameter Gallery Wall Clock",1,10/21/2016,87634,Low,5,06488,0.46,220,East,11/8/1964,318,10/24/2017,Express Air,14,Connecticut,64
Office Furnishings,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Furniture,0.05,10386,"Howard Miller 16"" Diameter Gallery Wall Clock",1,9/1/2016,40224,Low,21,28206,0.46,271,South,7/29/1915,1336,9/2/2017,Express Air,14,North Carolina,64
Computer Peripherals,Coos Bay,Small Pack,1307,Teresa Hill,Small Business,Technology,0.04,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",1,7/6/2014,91451,Low,16,97420,0.52,45,West,7/5/1962,131,6/30/2016,Regular Air,2,Oregon,8
Binders and Binder Accessories,Peachtree City,Small Box,1910,Sean Stephenson,Home Office,Office Supplies,0.02,10763,Binding Machine Supplies,1,2/6/2017,91371,Not Specified,2,30269,0.37,37,South,3/11/1965,63,2/8/2018,Regular Air,6,Georgia,29
